"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"HbA1C"	"rs11042731"	0.032430113106256	0.0274408649360628	0.237277851868278	4	"pan"
"ADM_CVDI"	"ADM"	"HbA1C"	"rs12465701"	0.0419981016858038	0.0677864097384904	0.535544072435929	4	"pan"
"ADM_CVDI"	"ADM"	"HbA1C"	"rs2048"	-0.0448380146014098	0.032283370513015	0.164866539747909	4	"pan"
"ADM_CVDI"	"ADM"	"HbA1C"	"rs9264664"	-0.0847868429531316	0.0584736847952632	0.147058519219297	4	"pan"
"ADM_CVDI"	"ADM"	"HbA1C"	"All - Inverse variance weighted"	-0.00558030095253166	0.0261175044360401	0.830811162602396	4	"pan"
"AGRP_CVDI"	"AGRP"	"HbA1C"	"rs4894192"	-0.0144208749663994	0.0547993248723176	0.7924288824046	1	"pan"
"AGRP_CVDI"	"AGRP"	"HbA1C"	"All - Wald ratio"	-0.0144208749663994	0.0547993248723176	0.7924288824046	1	"pan"
"CA-125_CVDI"	"CA-125"	"HbA1C"	"rs7257770"	-0.0815459665552809	0.0419055661464638	0.0516612330214306	1	"pan"
"CA-125_CVDI"	"CA-125"	"HbA1C"	"All - Wald ratio"	-0.0815459665552809	0.0419055661464638	0.0516612330214306	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"HbA1C"	"rs1045485"	0.00199052906271958	0.0268721423467143	0.940951444465206	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"HbA1C"	"All - Wald ratio"	0.00199052906271958	0.0268721423467143	0.940951444465206	1	"pan"
"CCL20_CVDI"	"CCL20"	"HbA1C"	"rs4973334"	0	0.0463123667692449	1	2	"pan"
"CCL20_CVDI"	"CCL20"	"HbA1C"	"rs742493"	-0.00264217406537056	0.129466529203157	0.983717771863467	2	"pan"
"CCL20_CVDI"	"CCL20"	"HbA1C"	"All - Inverse variance weighted"	-0.00029974098720244	0.0436063623612239	0.994515552097049	2	"pan"
"CCL3_CVDI"	"CCL3"	"HbA1C"	"rs1634517"	-0.00478659493028755	0.0105305088466326	0.649436283726755	3	"pan"
"CCL3_CVDI"	"CCL3"	"HbA1C"	"rs3184504"	-0.222708469046307	0.0445416938092613	5.7330314375839e-07	3	"pan"
"CCL3_CVDI"	"CCL3"	"HbA1C"	"rs4543123"	-0.057261425476337	0.0702753858118681	0.4151783194999	3	"pan"
"CCL3_CVDI"	"CCL3"	"HbA1C"	"All - Inverse variance weighted"	-0.017174797810923	0.0343905199966961	0.617494093970123	3	"pan"
"CCL4_CVDI"	"CCL4"	"HbA1C"	"rs5743604"	-0.0629408188460663	0.0489539702136072	0.198542793686662	2	"pan"
"CCL4_CVDI"	"CCL4"	"HbA1C"	"rs8064426"	0.00788135167983568	0.0113841746486515	0.488744120386507	2	"pan"
"CCL4_CVDI"	"CCL4"	"HbA1C"	"All - Inverse variance weighted"	0.00424786640934194	0.0156246311386658	0.785722080508488	2	"pan"
"CD40_CVDI"	"CD40"	"HbA1C"	"rs4801216"	0.0534760730936636	0.0406418155511843	0.188244713282316	2	"pan"
"CD40_CVDI"	"CD40"	"HbA1C"	"rs4810485"	0.0107246451195779	0.00689441471972864	0.119813814205544	2	"pan"
"CD40_CVDI"	"CD40"	"HbA1C"	"All - Inverse variance weighted"	0.011920498401304	0.00704942340690875	0.0908388774511536	2	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"HbA1C"	"rs1260326"	-0.160298121903733	0.0461875944468384	0.000519319689971913	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"HbA1C"	"rs339969"	-0.048661800486618	0.0461006530925855	0.291171315245308	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"HbA1C"	"rs7541061"	-0.00227792534304701	0.00654903536126017	0.727970796961297	3	"pan"
"CHI3L1_CVDI"	"CHI3L1"	"HbA1C"	"All - Inverse variance weighted"	-0.00623170737047622	0.015948238350326	0.695985131270539	3	"pan"
"CSF-1_CVDI"	"CSF-1"	"HbA1C"	"rs11579145"	0.0240928916770449	0.0208074973574478	0.246906995624742	1	"pan"
"CSF-1_CVDI"	"CSF-1"	"HbA1C"	"All - Wald ratio"	0.0240928916770449	0.0208074973574478	0.246906995624742	1	"pan"
"CTSD_CVDI"	"CTSD"	"HbA1C"	"rs10401969"	-0.0264338607182256	0.0581544935800964	0.649436283726755	4	"pan"
"CTSD_CVDI"	"CTSD"	"HbA1C"	"rs10860794"	-0.00607867261241897	0.0243146904496759	0.802587348634153	4	"pan"
"CTSD_CVDI"	"CTSD"	"HbA1C"	"rs1260326"	-0.17932084206636	0.0516687172055613	0.000519319689971913	4	"pan"
