"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Major depressive disorder"	"ADM_CVDI"	"rs12129573"	0.286615692765756	0.219668961608791	0.191973934755575	4
"Major depressive disorder"	"ADM_CVDI"	"rs147831713"	0.177357571284179	0.266880916789527	0.506333904294858	4
"Major depressive disorder"	"ADM_CVDI"	"rs1950829"	0.211437521302917	0.237867211465781	0.374062797490883	4
"Major depressive disorder"	"ADM_CVDI"	"rs6905391"	-0.506744266596053	0.198643752505653	0.0107408036184091	4
"Major depressive disorder"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.00868495961325305	0.201094410360608	0.965551297293542	4
"Major depressive disorder"	"AGRP_CVDI"	"rs12129573"	-0.0188287681378964	0.223853132306102	0.932967264946973	4
"Major depressive disorder"	"AGRP_CVDI"	"rs147831713"	0.547274791391181	0.273637395695591	0.0455002638963584	4
"Major depressive disorder"	"AGRP_CVDI"	"rs1950829"	0.116731131552652	0.244474634006498	0.633022155090313	4
"Major depressive disorder"	"AGRP_CVDI"	"rs6905391"	0.0824304006996246	0.202697706638421	0.684252825750441	4
"Major depressive disorder"	"AGRP_CVDI"	"All - Inverse variance weighted"	0.146441463814873	0.115949102357313	0.206596161220395	4
"Major depressive disorder"	"CA-125_CVDI"	"rs12129573"	-0.0376575362757928	0.326365314390204	0.908140272657433	4
"Major depressive disorder"	"CA-125_CVDI"	"rs147831713"	-0.0760103876932196	0.420590811902482	0.856585089771426	4
"Major depressive disorder"	"CA-125_CVDI"	"rs1950829"	-0.405255249163924	0.36120576555915	0.261883181151682	4
"Major depressive disorder"	"CA-125_CVDI"	"rs6905391"	0.764846013048975	0.304046559957632	0.0118844945200202	4
"Major depressive disorder"	"CA-125_CVDI"	"All - Inverse variance weighted"	0.130781190041546	0.264941045616338	0.62157193099521	4
"Major depressive disorder"	"CASP-8_CVDI"	"rs12129573"	0.0732229872029305	0.26360275393055	0.78118295086715	4
"Major depressive disorder"	"CASP-8_CVDI"	"rs147831713"	-0.0591191904280597	0.273637395695591	0.828949254588274	4
"Major depressive disorder"	"CASP-8_CVDI"	"rs1950829"	-0.213639995483156	0.27530927252984	0.437748985866168	4
"Major depressive disorder"	"CASP-8_CVDI"	"rs6905391"	0.00540527217702456	0.235129339700568	0.98165944161275	4
"Major depressive disorder"	"CASP-8_CVDI"	"All - Inverse variance weighted"	-0.0416185821655339	0.130158320010626	0.749155177907196	4
"Major depressive disorder"	"CCL20_CVDI"	"rs12129573"	0.294984034160377	0.238497729746688	0.21614570699231	4
