"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Breast cancer"	"ADM_CVDI"	"rs11049273"	0.0526315789473684	0.0730994152046784	0.471524995558502	17
"Breast cancer"	"ADM_CVDI"	"rs132289"	0.0510424155283968	0.0609273903666427	0.402166568588805	17
"Breast cancer"	"ADM_CVDI"	"rs150248100"	0.0618556701030928	0.119025304592315	0.603283115910641	17
"Breast cancer"	"ADM_CVDI"	"rs17756147"	0.0359195402298851	0.0883620689655173	0.684372270750365	17
"Breast cancer"	"ADM_CVDI"	"rs1910020"	-0.0609171800136893	0.0766598220396988	0.426821280931496	17
"Breast cancer"	"ADM_CVDI"	"rs34343964"	-0.0687973997833153	0.115926327193933	0.552874720498383	17
"Breast cancer"	"ADM_CVDI"	"rs35054928"	-0.00751314800901578	0.0405709992486852	0.853083788631931	17
"Breast cancer"	"ADM_CVDI"	"rs548980"	-0.280487804878049	0.108739837398374	0.00989608623820683	17
"Breast cancer"	"ADM_CVDI"	"rs552537123;rs530050445"	-0.0882117080994386	0.103047313552526	0.391980561570864	17
"Breast cancer"	"ADM_CVDI"	"rs60936670"	-0.0236559139784946	0.0767025089605735	0.757769449322287	17
"Breast cancer"	"ADM_CVDI"	"rs6721996"	-0.00510576221735959	0.0773158278628738	0.947347782147939	17
"Breast cancer"	"ADM_CVDI"	"rs719338"	0.181308411214953	0.100934579439252	0.0724474065953621	17
"Breast cancer"	"ADM_CVDI"	"rs72658074"	-0.0173669467787115	0.113725490196078	0.878627479445001	17
"Breast cancer"	"ADM_CVDI"	"rs78540526"	-0.0544015825914936	0.0698977909660402	0.436391063449814	17
"Breast cancer"	"ADM_CVDI"	"rs9371545"	-0.144144144144144	0.070990990990991	0.0423101227313186	17
"Breast cancer"	"ADM_CVDI"	"rs9693995"	0.090032154340836	0.0836012861736334	0.281514632510023	17
"Breast cancer"	"ADM_CVDI"	"rs9933302"	-0.155794320798158	0.0951650038372985	0.101610250515025	17
"Breast cancer"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0182078645146233	0.0214554828093263	0.396084662273121	17
"Breast cancer"	"AGRP_CVDI"	"rs11049273"	0.120300751879699	0.0739348370927318	0.10371190203331	17
"Breast cancer"	"AGRP_CVDI"	"rs132289"	0.13156002875629	0.0614665708123652	0.0323264212100619	17
"Breast cancer"	"AGRP_CVDI"	"rs150248100"	-0.0599812558575445	0.120899718837863	0.619806905459901	17
"Breast cancer"	"AGRP_CVDI"	"rs17756147"	-0.0316091954022989	0.0897988505747127	0.724838262475138	17
"Breast cancer"	"AGRP_CVDI"	"rs1910020"	0.00205338809034908	0.0780287474332649	0.979005461093967	17
"Breast cancer"	"AGRP_CVDI"	"rs34343964"	0.0639219934994583	0.11863488624052	0.590016040681882	17
"Breast cancer"	"AGRP_CVDI"	"rs35054928"	-0.0529676934635612	0.0413223140495868	0.199906434564296	17
"Breast cancer"	"AGRP_CVDI"	"rs548980"	-0.117886178861789	0.110772357723577	0.287228965734269	17
"Breast cancer"	"AGRP_CVDI"	"rs552537123;rs530050445"	-0.193263833199679	0.110665597433841	0.0807454965702867	17
"Breast cancer"	"AGRP_CVDI"	"rs60936670"	0.0551971326164875	0.0781362007168459	0.47992573210247	17
"Breast cancer"	"AGRP_CVDI"	"rs6721996"	0.0882567469000729	0.0780452224653538	0.258121968610155	17
"Breast cancer"	"AGRP_CVDI"	"rs719338"	0.0785046728971963	0.102803738317757	0.445083972938247	17
"Breast cancer"	"AGRP_CVDI"	"rs72658074"	0.0890756302521008	0.115966386554622	0.442418306507578	17
"Breast cancer"	"AGRP_CVDI"	"rs78540526"	0.0755028025057699	0.0708869106495219	0.286823313382723	17
"Breast cancer"	"AGRP_CVDI"	"rs9371545"	-0.0554954954954955	0.0724324324324324	0.443575659471766	17
"Breast cancer"	"AGRP_CVDI"	"rs9693995"	-0.00643086816720257	0.0852090032154341	0.93983941493195	17
"Breast cancer"	"AGRP_CVDI"	"rs9933302"	-0.00153491941673062	0.0966999232540292	0.987335697504501	17
"Breast cancer"	"AGRP_CVDI"	"All - Inverse variance weighted"	0.0138844439190098	0.0201289141236461	0.490334999546559	17
"Breast cancer"	"CA-125_CVDI"	"rs11049273"	-0.0050125313283208	0.109857978279031	0.963607248658035	17
"Breast cancer"	"CA-125_CVDI"	"rs132289"	0.0167145938173976	0.108375269590223	0.877429290808468	17
"Breast cancer"	"CA-125_CVDI"	"rs150248100"	0.00468603561387067	0.188378631677601	0.980154172129285	17
"Breast cancer"	"CA-125_CVDI"	"rs17756147"	-0.145114942528736	0.136494252873563	0.287710353217626	17
"Breast cancer"	"CA-125_CVDI"	"rs1910020"	-0.127994524298426	0.112936344969199	0.25707429868483	17
"Breast cancer"	"CA-125_CVDI"	"rs34343964"	0.112134344528711	0.184182015167931	0.542641415753779	17
"Breast cancer"	"CA-125_CVDI"	"rs35054928"	-0.10969196093163	0.0567242674680691	0.0531408182087346	17
"Breast cancer"	"CA-125_CVDI"	"rs548980"	0.16260162601626	0.164634146341463	0.323321972873559	17
"Breast cancer"	"CA-125_CVDI"	"rs552537123;rs530050445"	-0.23336006415397	0.111066559743384	0.0356336780761435	17
"Breast cancer"	"CA-125_CVDI"	"rs60936670"	0.0494623655913978	0.10752688172043	0.645516220500695	17
"Breast cancer"	"CA-125_CVDI"	"rs6721996"	0.132749817651349	0.118161925601751	0.261243542263587	17
"Breast cancer"	"CA-125_CVDI"	"rs719338"	-0.180373831775701	0.146728971962617	0.218959586016525	17
"Breast cancer"	"CA-125_CVDI"	"rs72658074"	-0.0375350140056022	0.194957983193277	0.847328061151706	17
"Breast cancer"	"CA-125_CVDI"	"rs78540526"	-0.0936366633696011	0.109792284866469	0.393740909975206	17
"Breast cancer"	"CA-125_CVDI"	"rs9371545"	0.105585585585586	0.104864864864865	0.313995879456878	17
"Breast cancer"	"CA-125_CVDI"	"rs9693995"	0.146302250803859	0.119774919614148	0.221905654161993	17
"Breast cancer"	"CA-125_CVDI"	"rs9933302"	0.0798158096699923	0.137375287797391	0.561236688367154	17
"Breast cancer"	"CA-125_CVDI"	"All - Inverse variance weighted"	-0.0302193796616086	0.0287147026320943	0.292615643677257	17
"Breast cancer"	"CASP-8_CVDI"	"rs11049273"	-0.0634920634920635	0.0873015873015873	0.467058901715173	17
"Breast cancer"	"CASP-8_CVDI"	"rs132289"	0.0580517613227894	0.0697340043134436	0.405141319965554	17
"Breast cancer"	"CASP-8_CVDI"	"rs150248100"	-0.0234301780693533	0.132146204311153	0.859268851439556	17
"Breast cancer"	"CASP-8_CVDI"	"rs17756147"	0.112068965517241	0.104166666666667	0.281988948055464	17
"Breast cancer"	"CASP-8_CVDI"	"rs1910020"	0.180698151950719	0.0930869267624914	0.0522368760834801	17
"Breast cancer"	"CASP-8_CVDI"	"rs34343964"	-0.0747562296858072	0.119176598049837	0.53048047751654	17
"Breast cancer"	"CASP-8_CVDI"	"rs35054928"	0.0875281743050338	0.0503380916604057	0.0820688981152102	17
"Breast cancer"	"CASP-8_CVDI"	"rs548980"	0.240853658536585	0.129065040650406	0.0620215386204435	17
"Breast cancer"	"CASP-8_CVDI"	"rs552537123;rs530050445"	0.0244587008821171	0.109863672814755	0.823825246980977	17
"Breast cancer"	"CASP-8_CVDI"	"rs60936670"	-0.0265232974910394	0.0939068100358423	0.777604040444994	17
"Breast cancer"	"CASP-8_CVDI"	"rs6721996"	0.0970094821298322	0.0897155361050328	0.279563325910912	17
"Breast cancer"	"CASP-8_CVDI"	"rs719338"	0.0392523364485981	0.122429906542056	0.748505437765616	17
"Breast cancer"	"CASP-8_CVDI"	"rs72658074"	0.10140056022409	0.123809523809524	0.412783831962695	17
"Breast cancer"	"CASP-8_CVDI"	"rs78540526"	-0.04648862512364	0.0797889878008572	0.56013255585523	17
"Breast cancer"	"CASP-8_CVDI"	"rs9371545"	-0.00468468468468468	0.085045045045045	0.956070948810034	17
"Breast cancer"	"CASP-8_CVDI"	"rs9693995"	-0.00884244372990354	0.102893890675241	0.931516101075299	17
"Breast cancer"	"CASP-8_CVDI"	"rs9933302"	-0.0652340752110514	0.115118956254797	0.570940671802888	17
"Breast cancer"	"CASP-8_CVDI"	"All - Inverse variance weighted"	0.0409804277410322	0.0221162396817537	0.063888608941595	17
"Breast cancer"	"CCL20_CVDI"	"rs11049273"	0.0179615705931495	0.0793650793650794	0.82095581872677	17
"Breast cancer"	"CCL20_CVDI"	"rs132289"	0.0418763479511143	0.0675772825305536	0.535467925145751	17
"Breast cancer"	"CCL20_CVDI"	"rs150248100"	-0.0028116213683224	0.131208997188379	0.982903782091117	17
"Breast cancer"	"CCL20_CVDI"	"rs17756147"	-0.0272988505747126	0.0955459770114943	0.775096962195985	17
"Breast cancer"	"CCL20_CVDI"	"rs1910020"	-0.00752908966461328	0.0835044490075291	0.928156943715331	17
"Breast cancer"	"CCL20_CVDI"	"rs34343964"	-0.289274106175515	0.119176598049837	0.0152128150593919	17
"Breast cancer"	"CCL20_CVDI"	"rs35054928"	0.0210368144252442	0.0443275732531931	0.635089022632529	17
"Breast cancer"	"CCL20_CVDI"	"rs548980"	-0.0650406504065041	0.11890243902439	0.584372860193899	17
"Breast cancer"	"CCL20_CVDI"	"rs552537123;rs530050445"	-0.0220529270248597	0.109863672814755	0.84090975759277	17
"Breast cancer"	"CCL20_CVDI"	"rs60936670"	0.0752688172043011	0.0838709677419355	0.369486364619542	17
"Breast cancer"	"CCL20_CVDI"	"rs6721996"	0.273522975929978	0.0838803792851933	0.00111071120866263	17
"Breast cancer"	"CCL20_CVDI"	"rs719338"	0.0158878504672897	0.110280373831776	0.885446933977128	17
"Breast cancer"	"CCL20_CVDI"	"rs72658074"	0.193837535014006	0.123249299719888	0.115781981986606	17
"Breast cancer"	"CCL20_CVDI"	"rs78540526"	0.0952851961754039	0.0774810418727333	0.218776789923234	17
"Breast cancer"	"CCL20_CVDI"	"rs9371545"	-0.098018018018018	0.0767567567567567	0.201603904761038	17
"Breast cancer"	"CCL20_CVDI"	"rs9693995"	0.0409967845659164	0.0908360128617363	0.651753575446936	17
"Breast cancer"	"CCL20_CVDI"	"rs9933302"	-0.112049117421335	0.102839600920952	0.275910431690185	17
"Breast cancer"	"CCL20_CVDI"	"All - Inverse variance weighted"	0.0203447043160314	0.0252027583796821	0.419527547025064	17
"Breast cancer"	"CCL3_CVDI"	"rs11049273"	0.0609857978279031	0.0739348370927318	0.409451783658363	17
"Breast cancer"	"CCL3_CVDI"	"rs132289"	0.130122214234364	0.0614665708123652	0.0342633221500993	17
"Breast cancer"	"CCL3_CVDI"	"rs150248100"	-0.028116213683224	0.120899718837863	0.816104535888477	17
"Breast cancer"	"CCL3_CVDI"	"rs17756147"	-0.0488505747126437	0.0897988505747127	0.586441472847721	17
"Breast cancer"	"CCL3_CVDI"	"rs1910020"	0.0930869267624914	0.0780287474332649	0.232876243973335	17
"Breast cancer"	"CCL3_CVDI"	"rs34343964"	-0.00541711809317443	0.11863488624052	0.963579571736655	17
"Breast cancer"	"CCL3_CVDI"	"rs35054928"	-0.0232907588279489	0.0413223140495868	0.573001633864393	17
"Breast cancer"	"CCL3_CVDI"	"rs548980"	-0.0731707317073171	0.110772357723577	0.508900648965486	17
"Breast cancer"	"CCL3_CVDI"	"rs552537123;rs530050445"	-0.0368885324779471	0.109462710505213	0.736119661421489	17
"Breast cancer"	"CCL3_CVDI"	"rs60936670"	0.0810035842293907	0.0781362007168459	0.299876975108697	17
"Breast cancer"	"CCL3_CVDI"	"rs6721996"	0.0678336980306346	0.0780452224653538	0.384760235908065	17
