"protein"	"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"Nsnp"	"mark"
"ADM_CVDI"	"ADM"	"Prostate cancer"	"rs12465701"	-0.303179133103184	0.191799769850403	0.113945173161825	4	"pan"
"ADM_CVDI"	"ADM"	"Prostate cancer"	"rs148339496"	0.208395228884591	0.0802359767891683	0.00939655270220049	4	"pan"
"ADM_CVDI"	"ADM"	"Prostate cancer"	"rs4862669"	-0.0463290111940298	0.103313432835821	0.653841717874198	4	"pan"
"ADM_CVDI"	"ADM"	"Prostate cancer"	"rs9264664"	0.167146118721461	0.18055098934551	0.354572921817054	4	"pan"
"ADM_CVDI"	"ADM"	"Prostate cancer"	"All - Inverse variance weighted"	0.0811911318909359	0.0948333041468524	0.391917156289404	4	"pan"
"AGRP_CVDI"	"AGRP"	"Prostate cancer"	"rs11451130"	0.185972392638037	0.173375766871166	0.283425913355673	4	"pan"
"AGRP_CVDI"	"AGRP"	"Prostate cancer"	"rs142444346"	-0.0314377029074381	0.0701915446216002	0.654236575462049	4	"pan"
"AGRP_CVDI"	"AGRP"	"Prostate cancer"	"rs4894192"	0.110169069069069	0.176261261261261	0.53194953315013	4	"pan"
"AGRP_CVDI"	"AGRP"	"Prostate cancer"	"rs77315662"	0.0162622172228471	0.125194350706162	0.896648886952933	4	"pan"
"AGRP_CVDI"	"AGRP"	"Prostate cancer"	"All - Inverse variance weighted"	0.0132127029045283	0.0548634655756206	0.809687802667196	4	"pan"
"CA-125_CVDI"	"CA-125"	"Prostate cancer"	"rs114590746"	0.0351398941185003	0.0359516281093625	0.328360525416184	3	"pan"
"CA-125_CVDI"	"CA-125"	"Prostate cancer"	"rs11672713"	-0.0182402167712493	0.0814786081003993	0.822862272500336	3	"pan"
"CA-125_CVDI"	"CA-125"	"Prostate cancer"	"rs62193063"	0.0354579389176639	0.030753884622254	0.248927602404051	3	"pan"
"CA-125_CVDI"	"CA-125"	"Prostate cancer"	"All - Inverse variance weighted"	0.0312519590045714	0.022464154718781	0.164167122459024	3	"pan"
"CASP-8_CVDI"	"CASP-8"	"Prostate cancer"	"rs35550815"	-0.00748072351421189	0.0858739018087855	0.930581781893962	1	"pan"
"CASP-8_CVDI"	"CASP-8"	"Prostate cancer"	"All - Wald ratio"	-0.00748072351421189	0.0858739018087855	0.930581781893962	1	"pan"
"CCL20_CVDI"	"CCL20"	"Prostate cancer"	"rs4973334"	0.191270952927669	0.131192881745121	0.144857916259911	2	"pan"
"CCL20_CVDI"	"CCL20"	"Prostate cancer"	"rs742493"	-0.0196127922971114	0.119028198074278	0.869121604845614	2	"pan"
"CCL20_CVDI"	"CCL20"	"Prostate cancer"	"All - Inverse variance weighted"	0.0756009843943421	0.104944626131306	0.471285344157777	2	"pan"
"CCL3_CVDI"	"CCL3"	"Prostate cancer"	"rs1634517"	0.0426047844505358	0.0326890107151757	0.192459867155697	3	"pan"
"CCL3_CVDI"	"CCL3"	"Prostate cancer"	"rs3184504"	-0.348252173913043	0.160186956521739	0.0297024487072522	3	"pan"
"CCL3_CVDI"	"CCL3"	"Prostate cancer"	"rs4543123"	-0.0582937669376694	0.180581300813008	0.746837808764398	3	"pan"
"CCL3_CVDI"	"CCL3"	"Prostate cancer"	"All - Inverse variance weighted"	0.0243780450913624	0.0543117874564406	0.653537219803147	3	"pan"
"CCL4_CVDI"	"CCL4"	"Prostate cancer"	"rs113010081"	-0.0102731884057971	0.0317211870255348	0.746044869307958	4	"pan"
"CCL4_CVDI"	"CCL4"	"Prostate cancer"	"rs5743604"	-0.00317770631067961	0.161143203883495	0.984266922671171	4	"pan"
"CCL4_CVDI"	"CCL4"	"Prostate cancer"	"rs62257806"	-0.112080511182109	0.160056230031949	0.483766759081204	4	"pan"
"CCL4_CVDI"	"CCL4"	"Prostate cancer"	"rs8064426"	0.0611050832003647	0.0362368361066788	0.0917438406879332	4	"pan"
