"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Fasting insulin"	"ADM_CVDI"	"rs2114912"	-0.209653846153846	0.388923076923077	0.589843729770828	4
"Fasting insulin"	"ADM_CVDI"	"rs6963105"	0.0474	0.40685	0.90725243906868	4
"Fasting insulin"	"ADM_CVDI"	"rs780094"	0.0997894736842105	0.428263157894737	0.815753866770073	4
"Fasting insulin"	"ADM_CVDI"	"rs9987289"	0.0632	0.452933333333333	0.889027492331461	4
"Fasting insulin"	"ADM_CVDI"	"All - Inverse variance weighted"	-0.0107719421807786	0.208608779737026	0.958817896345665	4
"Fasting insulin"	"AGRP_CVDI"	"rs2114912"	-0.158	0.395	0.689156516779352	4
"Fasting insulin"	"AGRP_CVDI"	"rs6963105"	-0.1106	0.41475	0.78972582092805	4
"Fasting insulin"	"AGRP_CVDI"	"rs780094"	-0.881473684210526	0.432421052631579	0.0415037974173481	4
"Fasting insulin"	"AGRP_CVDI"	"rs9987289"	0.6557	0.460833333333333	0.154777572228557	4
"Fasting insulin"	"AGRP_CVDI"	"All - Inverse variance weighted"	-0.147316154038454	0.297798244996455	0.620822896303072	4
"Fasting insulin"	"CA-125_CVDI"	"rs2114912"	-0.0911538461538462	0.546923076923077	0.867632334778193	4
"Fasting insulin"	"CA-125_CVDI"	"rs6963105"	-0.7742	0.6004	0.197233459347633	4
"Fasting insulin"	"CA-125_CVDI"	"rs780094"	-0.249473684210526	0.615368421052632	0.685179538328076	4
"Fasting insulin"	"CA-125_CVDI"	"rs9987289"	0.215933333333333	0.650433333333333	0.739901487400913	4
"Fasting insulin"	"CA-125_CVDI"	"All - Inverse variance weighted"	-0.233852517935697	0.299857979161099	0.435462930750819	4
"Fasting insulin"	"CASP-8_CVDI"	"rs2114912"	-0.507423076923077	0.480076923076923	0.290528918902974	4
"Fasting insulin"	"CASP-8_CVDI"	"rs6963105"	0.6162	0.48585	0.204693449114837	4
"Fasting insulin"	"CASP-8_CVDI"	"rs780094"	-0.324315789473684	0.523894736842105	0.535884989067038	4
"Fasting insulin"	"CASP-8_CVDI"	"rs9987289"	0.00526666666666667	0.558266666666667	0.992472898813957	4
"Fasting insulin"	"CASP-8_CVDI"	"All - Inverse variance weighted"	-0.0489985993370087	0.257635107573406	0.849163354617781	4
"Fasting insulin"	"CCL20_CVDI"	"rs2114912"	-0.337269230769231	0.419307692307692	0.42119612399579	4
"Fasting insulin"	"CCL20_CVDI"	"rs6963105"	0.04345	0.4424	0.921762138948745	4
"Fasting insulin"	"CCL20_CVDI"	"rs780094"	-0.569631578947368	0.461526315789474	0.217115634158075	4
"Fasting insulin"	"CCL20_CVDI"	"rs9987289"	0.079	0.4898	0.871864744932721	4
"Fasting insulin"	"CCL20_CVDI"	"All - Inverse variance weighted"	-0.205554410193923	0.225531506675466	0.36207298844045	4
"Fasting insulin"	"CCL3_CVDI"	"rs2114912"	-0.136730769230769	0.395	0.729227098416628	4
"Fasting insulin"	"CCL3_CVDI"	"rs6963105"	-0.3713	0.4108	0.366076984583267	4
"Fasting insulin"	"CCL3_CVDI"	"rs780094"	-0.257789473684211	0.432421052631579	0.551072455236834	4
"Fasting insulin"	"CCL3_CVDI"	"rs9987289"	0.2528	0.460833333333333	0.583299597866804	4
"Fasting insulin"	"CCL3_CVDI"	"All - Inverse variance weighted"	-0.145804171669138	0.211327807847537	0.490229944166133	4
"Fasting insulin"	"CCL4_CVDI"	"rs2114912"	-0.176230769230769	0.422346153846154	0.676483717842347	4
"Fasting insulin"	"CCL4_CVDI"	"rs6963105"	0.395	0.4424	0.371933680494178	4
"Fasting insulin"	"CCL4_CVDI"	"rs780094"	-0.0956315789473684	0.461526315789474	0.835848038922481	4
"Fasting insulin"	"CCL4_CVDI"	"rs9987289"	0.579333333333333	0.4898	0.236890125596873	4
"Fasting insulin"	"CCL4_CVDI"	"All - Inverse variance weighted"	0.153031454928231	0.226000676118168	0.498324550958053	4
"Fasting insulin"	"CD40_CVDI"	"rs2114912"	-0.182307692307692	0.419307692307692	0.663720229645602	4
"Fasting insulin"	"CD40_CVDI"	"rs6963105"	-0.4503	0.43845	0.304407737821377	4
"Fasting insulin"	"CD40_CVDI"	"rs780094"	0.453210526315789	0.457368421052632	0.321729972886035	4
"Fasting insulin"	"CD40_CVDI"	"rs9987289"	-0.0210666666666667	0.487166666666667	0.965507634186749	4
"Fasting insulin"	"CD40_CVDI"	"All - Inverse variance weighted"	-0.0654577949805809	0.224260915401775	0.770376606169726	4
"Fasting insulin"	"CD40-L_CVDI"	"rs2114912"	0.331192307692308	0.395	0.401771540131459	4
"Fasting insulin"	"CD40-L_CVDI"	"rs6963105"	-1.22055	0.41475	0.00325198444422916	4
"Fasting insulin"	"CD40-L_CVDI"	"rs780094"	-1.44278947368421	0.436578947368421	0.000950571154746592	4
"Fasting insulin"	"CD40-L_CVDI"	"rs9987289"	-0.186966666666667	0.460833333333333	0.684952544437848	4
"Fasting insulin"	"CD40-L_CVDI"	"All - Inverse variance weighted"	-0.60523485734449	0.430408199853482	0.159668298538733	4
"Fasting insulin"	"CHI3L1_CVDI"	"rs2114912"	-0.0759615384615385	0.349423076923077	0.827903407296463	4
"Fasting insulin"	"CHI3L1_CVDI"	"rs6963105"	-0.2607	0.37525	0.487220234966406	4
"Fasting insulin"	"CHI3L1_CVDI"	"rs780094"	-2.90221052631579	0.395	2.02147125076345e-13	4
"Fasting insulin"	"CHI3L1_CVDI"	"rs9987289"	-1.54576666666667	0.384466666666667	5.80629302238397e-05	4
"Fasting insulin"	"CHI3L1_CVDI"	"All - Inverse variance weighted"	-1.10769204681367	0.647018672798732	0.0868977852669634	4
"Fasting insulin"	"CSF-1_CVDI"	"rs2114912"	-0.911538461538462	0.419307692307692	0.0297116662879534	4
"Fasting insulin"	"CSF-1_CVDI"	"rs6963105"	0.05925	0.43845	0.892505031135259	4
"Fasting insulin"	"CSF-1_CVDI"	"rs780094"	2.03736842105263	0.457368421052632	8.40711170792627e-06	4
"Fasting insulin"	"CSF-1_CVDI"	"rs9987289"	1.0665	0.487166666666667	0.0285830920840133	4
"Fasting insulin"	"CSF-1_CVDI"	"All - Inverse variance weighted"	0.470586748940038	0.647080450244555	0.467075195992281	4
"Fasting insulin"	"CSTB_CVDI"	"rs2114912"	-0.136730769230769	0.358538461538462	0.702939155727163	4
"Fasting insulin"	"CSTB_CVDI"	"rs6963105"	0.47795	0.38315	0.212242554625276	4
"Fasting insulin"	"CSTB_CVDI"	"rs780094"	0.328473684210526	0.403315789473684	0.415396946112127	4
"Fasting insulin"	"CSTB_CVDI"	"rs9987289"	-0.255433333333333	0.389733333333333	0.512206772194767	4
"Fasting insulin"	"CSTB_CVDI"	"All - Inverse variance weighted"	0.0925888984600381	0.19131208598396	0.628408687760677	4
"Fasting insulin"	"CTSD_CVDI"	"rs2114912"	0.395	0.352461538461538	0.262419987102973	4
"Fasting insulin"	"CTSD_CVDI"	"rs6963105"	-0.2765	0.38315	0.470510007065902	4
"Fasting insulin"	"CTSD_CVDI"	"rs780094"	-2.51552631578947	0.399157894736842	2.93671189414818e-10	4
"Fasting insulin"	"CTSD_CVDI"	"rs9987289"	0.732066666666667	0.3871	0.0586034611933068	4
"Fasting insulin"	"CTSD_CVDI"	"All - Inverse variance weighted"	-0.345429384254035	0.70739435302521	0.625328629743542	4
"Fasting insulin"	"CTSL1_CVDI"	"rs2114912"	0.164076923076923	0.395	0.677860367173128	4
"Fasting insulin"	"CTSL1_CVDI"	"rs6963105"	0.553	0.41475	0.182422439451736	4
"Fasting insulin"	"CTSL1_CVDI"	"rs780094"	0.923052631578947	0.432421052631579	0.0327924397353437	4
"Fasting insulin"	"CTSL1_CVDI"	"rs9987289"	1.57473333333333	0.460833333333333	0.000632820634899099	4
"Fasting insulin"	"CTSL1_CVDI"	"All - Inverse variance weighted"	0.745890791690201	0.294289242797684	0.0112591867236612	4
"Fasting insulin"	"CX3CL1_CVDI"	"rs2114912"	-0.337269230769231	0.419307692307692	0.42119612399579	4
"Fasting insulin"	"CX3CL1_CVDI"	"rs6963105"	0.03555	0.43845	0.93537747125395	4
"Fasting insulin"	"CX3CL1_CVDI"	"rs780094"	1.87105263157895	0.457368421052632	4.29685550509902e-05	4
"Fasting insulin"	"CX3CL1_CVDI"	"rs9987289"	0.605666666666667	0.487166666666667	0.213778211996613	4
"Fasting insulin"	"CX3CL1_CVDI"	"All - Inverse variance weighted"	0.49101460265354	0.486891080561845	0.313229321693469	4
"Fasting insulin"	"CXCL1_CVDI"	"rs2114912"	0.282576923076923	0.404115384615385	0.484396982777635	4
"Fasting insulin"	"CXCL1_CVDI"	"rs6963105"	-0.3081	0.42265	0.466018813149834	4
"Fasting insulin"	"CXCL1_CVDI"	"rs780094"	-0.765052631578947	0.444894736842105	0.0855004163137989	4
"Fasting insulin"	"CXCL1_CVDI"	"rs9987289"	-1.00066666666667	0.474	0.0347627626222285	4
"Fasting insulin"	"CXCL1_CVDI"	"All - Inverse variance weighted"	-0.391693475656086	0.285165723964902	0.169576967183834	4
"Fasting insulin"	"CXCL16_CVDI"	"rs2114912"	-0.865961538461539	0.352461538461538	0.0140143035724747	4
"Fasting insulin"	"CXCL16_CVDI"	"rs6963105"	0.1817	0.3792	0.631820065704664	4
"Fasting insulin"	"CXCL16_CVDI"	"rs780094"	-0.178789473684211	0.399157894736842	0.654213339539666	4
"Fasting insulin"	"CXCL16_CVDI"	"rs9987289"	0.439766666666667	0.3871	0.255933788607586	4
"Fasting insulin"	"CXCL16_CVDI"	"All - Inverse variance weighted"	-0.139315521570369	0.293308481020644	0.634801570670547	4
"Fasting insulin"	"CXCL6_CVDI"	"rs2114912"	0.309923076923077	0.422346153846154	0.463062747058509	4
"Fasting insulin"	"CXCL6_CVDI"	"rs6963105"	-0.18565	0.4424	0.674746375168589	4
"Fasting insulin"	"CXCL6_CVDI"	"rs780094"	-0.893947368421053	0.461526315789474	0.0527530526129495	4
"Fasting insulin"	"CXCL6_CVDI"	"rs9987289"	-0.389733333333333	0.4898	0.426207051992364	4
"Fasting insulin"	"CXCL6_CVDI"	"All - Inverse variance weighted"	-0.257038306657262	0.254553216771603	0.312609063903819	4
"Fasting insulin"	"Dkk-1_CVDI"	"rs2114912"	0.0881153846153846	0.395	0.823475638542085	4
"Fasting insulin"	"Dkk-1_CVDI"	"rs6963105"	-0.36735	0.41475	0.37577150825113	4
"Fasting insulin"	"Dkk-1_CVDI"	"rs780094"	0.141368421052632	0.436578947368421	0.746082245403391	4
"Fasting insulin"	"Dkk-1_CVDI"	"rs9987289"	-0.1027	0.460833333333333	0.82364669258424	4
"Fasting insulin"	"Dkk-1_CVDI"	"All - Inverse variance weighted"	-0.0591886732533521	0.21234357437413	0.780444271472905	4
"Fasting insulin"	"ECP_CVDI"	"rs2114912"	-0.723153846153846	0.540846153846154	0.18119696484353	4
"Fasting insulin"	"ECP_CVDI"	"rs6963105"	-0.23305	0.58855	0.692124832724586	4
"Fasting insulin"	"ECP_CVDI"	"rs780094"	-0.241157894736842	0.602894736842105	0.689156516779352	4
"Fasting insulin"	"ECP_CVDI"	"rs9987289"	0.605666666666667	0.632	0.33789470042481	4
"Fasting insulin"	"ECP_CVDI"	"All - Inverse variance weighted"	-0.198273793603402	0.294113627426315	0.50022224013689	4
"Fasting insulin"	"EGF_CVDI"	"rs2114912"	0.0151923076923077	0.525653846153846	0.976942962585851	4
"Fasting insulin"	"EGF_CVDI"	"rs6963105"	-0.94405	0.5767	0.101633331882777	4
"Fasting insulin"	"EGF_CVDI"	"rs780094"	-0.877315789473684	0.590421052631579	0.137301475066241	4
"Fasting insulin"	"EGF_CVDI"	"rs9987289"	-0.192233333333333	0.6162	0.755066505689509	4
"Fasting insulin"	"EGF_CVDI"	"All - Inverse variance weighted"	-0.478765225204803	0.287145966391692	0.0954500910590828	4
"Fasting insulin"	"EN-RAGE_CVDI"	"rs2114912"	-0.914576923076923	0.480076923076923	0.0567718444346577	4
"Fasting insulin"	"EN-RAGE_CVDI"	"rs6963105"	1.0823	0.48585	0.0259043791127544	4
"Fasting insulin"	"EN-RAGE_CVDI"	"rs780094"	-0.860684210526316	0.523894736842105	0.100412493986103	4
"Fasting insulin"	"EN-RAGE_CVDI"	"rs9987289"	0.1501	0.558266666666667	0.788031320863937	4
"Fasting insulin"	"EN-RAGE_CVDI"	"All - Inverse variance weighted"	-0.132067378155097	0.4895929269549	0.787353084692049	4
"Fasting insulin"	"ESM-1_CVDI"	"rs2114912"	-0.136730769230769	0.525653846153846	0.794774599591394	4
"Fasting insulin"	"ESM-1_CVDI"	"rs6963105"	0.6557	0.57275	0.252280585537412	4
"Fasting insulin"	"ESM-1_CVDI"	"rs780094"	1.53010526315789	0.586263157894737	0.00905609956050623	4
