"exposure"	"outcome"	"SNP"	"b"	"se"	"p"	"nsnp"
"Ischemic stroke"	"ADM_CVDI"	"rs11242678"	-0.0802213001383126	0.163208852005532	0.623054874994852	9
"Ischemic stroke"	"ADM_CVDI"	"rs2066864"	-0.241324921135647	0.201892744479495	0.231964957767768	9
"Ischemic stroke"	"ADM_CVDI"	"rs2107595"	-0.329931972789116	0.158730158730159	0.0376567593402501	9
"Ischemic stroke"	"ADM_CVDI"	"rs2466455"	0.115755627009646	0.129689174705252	0.372091785430534	9
"Ischemic stroke"	"ADM_CVDI"	"rs2758612"	0.333843797856049	0.179173047473201	0.0624274016835399	9
"Ischemic stroke"	"ADM_CVDI"	"rs3184504"	-0.0179717586649551	0.143774069319641	0.900523550339774	9
"Ischemic stroke"	"ADM_CVDI"	"rs473238"	-0.25150421179302	0.168471720818291	0.135474585600226	9
"Ischemic stroke"	"ADM_CVDI"	"rs4942561"	-0.0656488549618321	0.181679389312977	0.717841903272377	9
"Ischemic stroke"	"ADM_CVDI"	"rs635634"	0.669689119170985	0.180051813471503	0.000199677252788047	9
"Ischemic stroke"	"ADM_CVDI"	"All - Inverse variance weighted"	0.0124355875089741	0.0989679180737661	0.900006833823413	9
"Ischemic stroke"	"AGRP_CVDI"	"rs11242678"	0.138312586445367	0.16597510373444	0.404656761927286	9
"Ischemic stroke"	"AGRP_CVDI"	"rs2066864"	-0.0425867507886435	0.205047318611987	0.835469224288783	9
"Ischemic stroke"	"AGRP_CVDI"	"rs2107595"	-0.317460317460317	0.162131519274376	0.0502250895087015	9
"Ischemic stroke"	"AGRP_CVDI"	"rs2466455"	0.111468381564845	0.131832797427653	0.397815852119185	9
"Ischemic stroke"	"AGRP_CVDI"	"rs2758612"	-0.0474732006125574	0.182235834609495	0.794474874698458	9
"Ischemic stroke"	"AGRP_CVDI"	"rs3184504"	0.55198973042362	0.143774069319641	0.000123392770921351	9
"Ischemic stroke"	"AGRP_CVDI"	"rs473238"	-0.135980746089049	0.17208182912154	0.429405259412082	9
"Ischemic stroke"	"AGRP_CVDI"	"rs4942561"	0.148091603053435	0.183206106870229	0.418898718493675	9
"Ischemic stroke"	"AGRP_CVDI"	"rs635634"	0.183937823834197	0.181347150259067	0.310446438696633	9
"Ischemic stroke"	"AGRP_CVDI"	"All - Inverse variance weighted"	0.0884786351805421	0.0869205652742928	0.30871349714382	9
"Ischemic stroke"	"CA-125_CVDI"	"rs11242678"	0.211618257261411	0.246196403872752	0.390036837119602	9
"Ischemic stroke"	"CA-125_CVDI"	"rs2066864"	-0.523659305993691	0.332807570977918	0.115612409156216	9
"Ischemic stroke"	"CA-125_CVDI"	"rs2107595"	0.0793650793650794	0.224489795918367	0.723687129428604	9
"Ischemic stroke"	"CA-125_CVDI"	"rs2466455"	-0.052518756698821	0.183279742765273	0.77445712759096	9
"Ischemic stroke"	"CA-125_CVDI"	"rs2758612"	0.284839203675345	0.252679938744257	0.259627189594537	9
"Ischemic stroke"	"CA-125_CVDI"	"rs3184504"	-0.159178433889602	0.231065468549422	0.490893192138033	9
"Ischemic stroke"	"CA-125_CVDI"	"rs473238"	0.101083032490975	0.239470517448857	0.672944325708069	9
"Ischemic stroke"	"CA-125_CVDI"	"rs4942561"	0.155725190839695	0.268702290076336	0.56222118541764	9
"Ischemic stroke"	"CA-125_CVDI"	"rs635634"	0.6360103626943	0.281088082901554	0.0236558660616719	9
"Ischemic stroke"	"CA-125_CVDI"	"All - Inverse variance weighted"	0.0796475713295971	0.0894640302769309	0.373318350933131	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs11242678"	0.431535269709544	0.193637621023513	0.0258424338448698	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs2066864"	-0.026813880126183	0.222397476340694	0.904033710560514	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs2107595"	0.198412698412698	0.19047619047619	0.297566248363504	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs2466455"	0.0514469453376206	0.157556270096463	0.744022932170302	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs2758612"	-0.0765696784073507	0.218989280245023	0.726601119537376	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs3184504"	0.377406931964057	0.179717586649551	0.0357288411256331	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs473238"	0.155234657039711	0.209386281588448	0.458463485620218	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs4942561"	-0.141984732824427	0.219847328244275	0.518387298084664	9
"Ischemic stroke"	"CASP-8_CVDI"	"rs635634"	-0.0634715025906736	0.231865284974093	0.784282117338071	9
"Ischemic stroke"	"CASP-8_CVDI"	"All - Inverse variance weighted"	0.122542084492377	0.0674149672298931	0.0691056911534685	9
"Ischemic stroke"	"CCL20_CVDI"	"rs11242678"	-0.240663900414938	0.178423236514523	0.177389260175536	9
"Ischemic stroke"	"CCL20_CVDI"	"rs2066864"	0.206624605678233	0.220820189274448	0.349420313315775	9
"Ischemic stroke"	"CCL20_CVDI"	"rs2107595"	-0.178004535147392	0.173469387755102	0.304823811553213	9
"Ischemic stroke"	"CCL20_CVDI"	"rs2466455"	-0.153269024651661	0.140407288317256	0.275007613446439	9
"Ischemic stroke"	"CCL20_CVDI"	"rs2758612"	0.114854517611026	0.197549770290965	0.560974031478011	9
"Ischemic stroke"	"CCL20_CVDI"	"rs3184504"	0.0397946084724005	0.155327342747112	0.797797684867063	9
"Ischemic stroke"	"CCL20_CVDI"	"rs473238"	0.155234657039711	0.182912154031288	0.396057034445109	9
"Ischemic stroke"	"CCL20_CVDI"	"rs4942561"	-0.050381679389313	0.196946564885496	0.798094499004888	9
"Ischemic stroke"	"CCL20_CVDI"	"rs635634"	-0.0544041450777202	0.196891191709845	0.782305529586007	9
"Ischemic stroke"	"CCL20_CVDI"	"All - Inverse variance weighted"	-0.0368555984632978	0.0592957798002256	0.53423440710436	9
"Ischemic stroke"	"CCL3_CVDI"	"rs11242678"	-0.110650069156293	0.164591977869986	0.501412520028011	9
"Ischemic stroke"	"CCL3_CVDI"	"rs2066864"	0.028391167192429	0.205047318611987	0.889875664640676	9
"Ischemic stroke"	"CCL3_CVDI"	"rs2107595"	-0.0963718820861678	0.160997732426304	0.549445292771833	9
"Ischemic stroke"	"CCL3_CVDI"	"rs2466455"	0.10075026795284	0.131832797427653	0.444731596522484	9
"Ischemic stroke"	"CCL3_CVDI"	"rs2758612"	0.271056661562021	0.182235834609495	0.136910527788979	9
"Ischemic stroke"	"CCL3_CVDI"	"rs3184504"	0.885750962772786	0.143774069319641	7.2417547410223e-10	9
"Ischemic stroke"	"CCL3_CVDI"	"rs473238"	-0.140794223826715	0.170878459687124	0.40997157005047	9
"Ischemic stroke"	"CCL3_CVDI"	"rs4942561"	0.0717557251908397	0.183206106870229	0.695304522336175	9
"Ischemic stroke"	"CCL3_CVDI"	"rs635634"	0.597150259067358	0.180051813471503	0.00091137334081815	9
"Ischemic stroke"	"CCL3_CVDI"	"All - Inverse variance weighted"	0.198120663049088	0.123748311664871	0.109377606305255	9
"Ischemic stroke"	"CCL4_CVDI"	"rs11242678"	0.024896265560166	0.178423236514523	0.889027492331461	9
"Ischemic stroke"	"CCL4_CVDI"	"rs2066864"	0.121451104100946	0.222397476340694	0.584997687289209	9
"Ischemic stroke"	"CCL4_CVDI"	"rs2107595"	-0.199546485260771	0.173469387755102	0.250009297697354	9
"Ischemic stroke"	"CCL4_CVDI"	"rs2466455"	0.0610932475884244	0.140407288317256	0.66347931624407	9
"Ischemic stroke"	"CCL4_CVDI"	"rs2758612"	0.0505359877488515	0.199081163859112	0.799614415360277	9
"Ischemic stroke"	"CCL4_CVDI"	"rs3184504"	0.300385109114249	0.155327342747112	0.0531273551760503	9
"Ischemic stroke"	"CCL4_CVDI"	"rs473238"	-0.022864019253911	0.182912154031288	0.900523550339774	9
"Ischemic stroke"	"CCL4_CVDI"	"rs4942561"	-0.0625954198473282	0.196946564885496	0.750614304654553	9
"Ischemic stroke"	"CCL4_CVDI"	"rs635634"	0.204663212435233	0.196891191709845	0.298584490747898	9
"Ischemic stroke"	"CCL4_CVDI"	"All - Inverse variance weighted"	0.0578465170042304	0.0593670593883931	0.329864203510293	9
"Ischemic stroke"	"CD40_CVDI"	"rs11242678"	0.0816044260027662	0.177040110650069	0.644843446380915	9
"Ischemic stroke"	"CD40_CVDI"	"rs2066864"	-0.0236593059936909	0.219242902208202	0.914064174098709	9
"Ischemic stroke"	"CD40_CVDI"	"rs2107595"	-0.0623582766439909	0.172335600907029	0.717470025625234	9
"Ischemic stroke"	"CD40_CVDI"	"rs2466455"	-0.0911039657020365	0.139335476956056	0.513210927875975	9
"Ischemic stroke"	"CD40_CVDI"	"rs2758612"	-0.0107197549770291	0.196018376722818	0.956387428015015	9
"Ischemic stroke"	"CD40_CVDI"	"rs3184504"	0.390243902439024	0.155327342747112	0.0119914208173835	9
"Ischemic stroke"	"CD40_CVDI"	"rs473238"	-0.140794223826715	0.181708784596871	0.438437497441613	9
"Ischemic stroke"	"CD40_CVDI"	"rs4942561"	0.0412213740458015	0.195419847328244	0.832936041644178	9
"Ischemic stroke"	"CD40_CVDI"	"rs635634"	0.16580310880829	0.196891191709845	0.399729035501384	9
